Character,Face,Position,Text,Background
이름없음,,,쿵쿵쿵! (효과음),주인공의 방
???,,,어이` 엘릭시온! 안에 있나!!,
엘릭시온,,0,….또다시` 이곳이구나.,
???,,,엘릭시온!,
엘릭시온,,0,이건... 촌장님 목소리다. 오랜만에 듣는군.,
엘릭시온,,0,(촌장님이 문을 두드리고 있다.),
엘릭시온,,0,(어떻게 할까?),
엘릭시온,,0,[문을 연다.][귀찮다. 조금은 밍기적거려도 되겠지.],
엘릭시온,,0,선택지[1](첫번째를 테스트해보겠노라...),
엘릭시온,,0,선택지[2](아니` 촌장님 성격대로라면 5분내에 문짝이 부서질 것이다. 얌전히 열자... ),
엘릭시온,,0,선택지[2](두번째 테스트),
촌장,,1,나 참` 이렇게 느려서야 원. 내 지팡이 부서질 뻔 했다.,
엘릭시온,,-1,여전히 성질 급하시군요. 그리고…,
엘릭시온,,-1,[촌장님 지팡이는 쇠고 제 문짝은 나무인데요.][제 문짝이 먼저 부서질 뻔 했습니다. 바꿔단지 얼마 되지도 않았는데.],
촌장,,1,늦잠자는 놈 문은 부숴져도 싸. 그것보다` 급한 일이다. 오늘 아침에 온 전서구가 황실에서 온 서신을 물고 왔어.,
엘릭시온,,-1,에클리 마을의 붉은 머리 검사라…. 이건 착각할래야 착각할 수 없군요.,
엘릭시온,,-1,(황실에서 온 급한 편지다. 얼른 읽어보자),
엘릭시온,,-1,~튜토리얼~,
엘릭시온,,-1,……,
촌장,,1,뭐하고 있냐? 얼른 준비하지 않고.,
엘릭시온,,-1,섭섭한 척이라도 좀 해주시죠` 꽤 오래 못 볼 텐데.,
촌장,,1,예끼 이년아` 퍼뜩 나서기나 해. 뭉그적거리면 못쓰는 법이야.,
효과,,,#촌장 퇴장,
엘릭시온,,0,짐 챙기는 것도 이젠 익숙해진지 오래다. 그럼….다시 출발해볼까.,
효과,,,#모두 퇴장,
효과,,,,숲마을 입구
